DreamId,Old DreamId,Title,Date,,Answer,Respondent,Question Title
1,51,,01/01/2020,01/01/2020 00:00,"I am in a building, and I realize a whole row of seats is filled with Theater Group actors, who have been napping, in preparation for a rehearsal….I feel the need to leave the room, let them have their work space….I go outside, and they send some bad guys to hassle me….I realize they will try to stop or obstruct me whatever I do, so I decide ok, I will just wait here and do nothing until someone else comes by and they get distracted….At some point, a big camel nuzzles me on the head, nicely….",KB,Last Night's Dream
2,405,,01/01/2020,01/01/2020 00:01,"I was in an underground hotel lobby with all the lights on. It had wood floors, wood ceiling wood-paneled walls. I’d been there before in another dream but not in real life. I was waiting for a massage at the spa. A bartender took my order and left, tipping his hat. I saw people but did not talk to anyone. I went swimming in the underground pool. The pool reminded me of a bath at a temple stay in Japan. Then I went into a dark stadium alone. Then I woke up.",Vera,last_nights_dream
3,768,,01/01/2020,01/01/2020 00:02,"I drive through the next door Airbnb lot on my way home one night (this is not a place I know in waking life). I go because I’ve heard that interesting things happen here. Right in front of my car is a huge lizard standing on its back legs. I realize it’s a dinosaur, though part of my mind tries to reason it away because dinosaurs don’t exist. But this one is real. A person goes up to the dinosaur and turns on a light on the side of its head - so it’s like a moving lantern. I continue to explore. There is a white skull of a large bird-like animal in the middle of a blackened circle -a fire pit. The terrain is grassy and hilly. I decide to leave and go home - better not spend too much time here and get caught lurking.",Ana,last_nights_dream
4,1007,,01/01/2020,01/01/2020 00:03,I was heading in to teach several thousand people. There’s this huge room and all these people are piling in and it was almost an anxiety dream about teaching.,Mary,last_nights_dream1
5,1008,,01/01/2020,01/01/2020 00:04,I also had a dream where there’s a man and we have a crazy attraction and we’re making out and it’s kind of sexual.,Mary,last_nights_dream2
6,1009,,01/01/2020,01/01/2020 00:05,"I was thinking or maybe dreaming about how in 2019 I hit 6 figures, and in 2020 I hit half a million dollars.",Mary,last_nights_dream3
7,1967,,01/01/2020,01/01/2020 00:06,"My mom was working as a police officer and I'd always wanted to join her on a drug bust to see what it was like. She didn't want me to come, but I convinced her, so I opened the left rear door to the police cruiser and clambered inside. It was a much tighter fit than I had been expecting. This was connected to reducing the mobility and thus potential threat of any criminals who had to be transported.   Before the bust, we had to stop by our house and pick something up, I don't remember what it was distinctly and the only thing that comes to mind is a bottle of wine. After retrieving whatever the object was, we set out to bust the druggies.   The rest of the dream has sadly faded from memory.",Bob,last_nights_dream2
8,52,,02/01/2020,01/02/2020 00:00,"I am in a group, we are supposed to help fill or load some train box cars….I do not know why….we have to move and do this fast, it feels coercive, someone making us do this….",KB,Last Night's Dream
9,406,,02/01/2020,01/02/2020 00:01,"The dreams I remember mostly centered around my ex boyfriend and being unfaithful during our relationship and finding out later. In my dream I was confused and hurt. In real life I don’t think this happened but would not have been surprised, either. This is a theme though that comes up in my dreams about him often over the almost five years we were together. Wonder what else that may symbolize?",Vera,last_nights_dream
10,769,,02/01/2020,01/02/2020 00:02,"I’m in the back of a house/laboratory and they’re showing me the pool. It’s rounded and smooth at the bottom. People are swimming in the water, breathing with eyes open and taking pictures from under the water. It’s a scientific experiment. But as they swim, they are disturbing the water and it is sloshing with water from other pools that are contaminated. In the front of the house, someone is lighting candles on the altar, so many candles all clustered together.",Ana,last_nights_dream
11,1283,,02/01/2020,01/02/2020 00:03,"“The Mission” In this dream I am aware that there are other beings in the world that we live in. They don’t have a body or faces. We can’t see them, I don’t know what they look like but I do know they are there. They reveal other parts of the dimensions that we live in when the right people are gathered together. Some of the people are oblivious to the fact that they’re supposed to gather together and others are not. So the dream flips between scenes where people are gathering. There’s always one person that is aware that the gathering has occurred. In each house where this happens, the curtains are supposed to stay slightly open, and when everyone has arrived, the curtains are closed. And then some other kind of message will come through, left by these other beings. It changes every time. You have to look for it, too. For example, one of them was actually underneath a flyer on a telephone pole. I was looking for the message and kept expanding the search area outside of the house to wider areas until I thought, “The messages are never this far away from the actual home.” So I retraced my steps and went back and found it underneath the flyer. There’s some violence in it that I can’t just speak of. What I came away with from this dream is that there’s a frequency layer on the planet where people just don’t care about the lives of other beings - whether animals, peoples or plants - they are just completely removed from the heartbeats that make things live. The other thing is that when the right people are gathered, you can evolve through that and you move past it. Not past the violence, but past the frequency that’s your everyday existence. But if you lived in isolation and didn't come together in groups, none of these fantastical conversations would happen when you discover something new. The layer of other dimensional beings remained with me when I woke up and I couldn't go back to sleep - it was that other layer of detachment and being observed that I really didn’t like.",Freya Co'LM,last_nights_dream1
